code,name,agency_code,agency_name
23110,Energy policy and administrative management,1040000,Ministry of Finance
23111,"Energy sector policy, planning and administration",1040000,Ministry of Finance
23112,Energy regulation,1040000,Ministry of Finance
23181,Energy education/training,1040000,Ministry of Finance
23182,Energy research,1040000,Ministry of Finance
23183,Energy conservation and demand-side efficiency,1040000,Ministry of Finance
23210,"Energy generation, renewable sources - multiple technologies",1040000,Ministry of Finance
23220,Hydro-electric power plants,1040000,Ministry of Finance
23230,Solar energy,1040000,Ministry of Finance
23240,Wind energy,1040000,Ministry of Finance
23250,Marine energy,1040000,Ministry of Finance
23260,Geothermal energy,1040000,Ministry of Finance
23270,Biofuel-fired power plants,1040000,Ministry of Finance
23310,"Energy generation, non-renewable sources - unspecified",1040000,Ministry of Finance
23320,Coal-fired electric power plants,1040000,Ministry of Finance
23330,Oil-fired electric power plants,1040000,Ministry of Finance
23340,Natural gas-fired electric power plants,1040000,Ministry of Finance
23350,Fossil fuel electric power plants with carbon capture and storage (CCS),1040000,Ministry of Finance
23360,Non-renewable waste-fired electric power plants,1040000,Ministry of Finance
23410,Hybrid energy electric power plants,1040000,Ministry of Finance
23510,Nuclear energy electric power plants,1040000,Ministry of Finance
23610,Heat plants,1040000,Ministry of Finance
23620,District heating and cooling,1040000,Ministry of Finance
23630,Electric power transmission and distribution,1040000,Ministry of Finance
23640,Gas distribution,1040000,Ministry of Finance
24010,Financial policy and administrative management,1040000,Ministry of Finance
24020,Monetary institutions,1040000,Ministry of Finance
24030,Formal sector financial intermediaries,1040000,Ministry of Finance
24040,Informal/semi-formal financial intermediaries,1040000,Ministry of Finance
24081,Education/training in banking and financial services,1040000,Ministry of Finance
25010,Business support services and institutions,1040000,Ministry of Finance
25020,Privatisation,1040000,Ministry of Finance
31110,Agricultural policy and administrative management,1040000,Ministry of Finance
31120,Agricultural development,1040000,Ministry of Finance
31130,Agricultural land resources,1040000,Ministry of Finance
31140,Agricultural water resources,1040000,Ministry of Finance
31150,Agricultural inputs,1040000,Ministry of Finance
31161,Food crop production,1040000,Ministry of Finance
31162,Industrial crops/export crops,1040000,Ministry of Finance
31163,Livestock,1040000,Ministry of Finance
31164,Agrarian reform,1040000,Ministry of Finance
31165,Agricultural alternative development,1040000,Ministry of Finance
31166,Agricultural extension,1040000,Ministry of Finance
31181,Agricultural education/training,1040000,Ministry of Finance
31182,Agricultural research,1040000,Ministry of Finance
31191,Agricultural services,1040000,Ministry of Finance
31192,Plant and post-harvest protection and pest control,1040000,Ministry of Finance
31193,Agricultural financial services,1040000,Ministry of Finance
31194,Agricultural co-operatives,1040000,Ministry of Finance
31195,Livestock/veterinary services,1040000,Ministry of Finance
31210,Forestry policy and administrative management,1040000,Ministry of Finance
31220,Forestry development,1040000,Ministry of Finance
31261,Fuelwood/charcoal,1040000,Ministry of Finance
31281,Forestry education/training,1040000,Ministry of Finance
31282,Forestry research,1040000,Ministry of Finance
31291,Forestry services,1040000,Ministry of Finance
31310,Fishing policy and administrative management,1040000,Ministry of Finance
31320,Fishery development,1040000,Ministry of Finance
31381,Fishery education/training,1040000,Ministry of Finance
31382,Fishery research,1040000,Ministry of Finance
31391,Fishery services,1040000,Ministry of Finance
32110,Industrial policy and administrative management,1040000,Ministry of Finance
32120,Industrial development,1040000,Ministry of Finance
32130,Small and medium-sized enterprises (SME) development,1040000,Ministry of Finance
32140,Cottage industries and handicraft,1040000,Ministry of Finance
32161,Agro-industries,1040000,Ministry of Finance
32162,Forest industries,1040000,Ministry of Finance
32163,"Textiles, leather and substitutes",1040000,Ministry of Finance
32164,Chemicals,1040000,Ministry of Finance
32165,Fertilizer plants,1040000,Ministry of Finance
32166,Cement/lime/plaster,1040000,Ministry of Finance
32167,Energy manufacturing,1040000,Ministry of Finance
32168,Pharmaceutical production,1040000,Ministry of Finance
32169,Basic metal industries,1040000,Ministry of Finance
32170,Non-ferrous metal industries,1040000,Ministry of Finance
32171,Engineering,1040000,Ministry of Finance
32172,Transport equipment industry,1040000,Ministry of Finance
32182,Technological research and development,1040000,Ministry of Finance
32210,Mineral/mining policy and administrative management,1040000,Ministry of Finance
32220,Mineral prospection and exploration,1040000,Ministry of Finance
32261,Coal,1040000,Ministry of Finance
32262,Oil and gas,1040000,Ministry of Finance
32263,Ferrous metals,1040000,Ministry of Finance
32264,Nonferrous metals,1040000,Ministry of Finance
32265,Precious metals/materials,1040000,Ministry of Finance
32266,Industrial minerals,1040000,Ministry of Finance
32267,Fertilizer minerals,1040000,Ministry of Finance
32268,Offshore minerals,1040000,Ministry of Finance
32310,Construction policy and administrative management,1040000,Ministry of Finance
33110,Trade policy and administrative Management,1040000,Ministry of Finance
33120,Trade facilitation,1040000,Ministry of Finance
33130,Regional trade agreements (RTAs),1040000,Ministry of Finance
33140,Multilateral trade negotiations,1040000,Ministry of Finance
33150,Trade-related adjustment,1040000,Ministry of Finance
33181,Trade education/training,1040000,Ministry of Finance
33210,Tourism policy and administrative management,1040000,Ministry of Finance
41010,Environmental policy and administrative management,1040000,Ministry of Finance
41020,Biosphere protection,1040000,Ministry of Finance
41030,Bio-diversity,1040000,Ministry of Finance
41040,Site preservation,1040000,Ministry of Finance
41050,Flood prevention/control,1040000,Ministry of Finance
41081,Environmental education/ training,1040000,Ministry of Finance
41082,Environmental research,1040000,Ministry of Finance
43010,Multisector aid,1040000,Ministry of Finance
43030,Urban development and management,1040000,Ministry of Finance
43031,Urban land policy and management,1040000,Ministry of Finance
43032,Urban development,1040000,Ministry of Finance
43040,Rural development,1040000,Ministry of Finance
43041,Rural land policy and management,1040000,Ministry of Finance
43042,Rural development,1040000,Ministry of Finance
43050,Non-agricultural alternative development,1040000,Ministry of Finance
43081,Multisector education/training,1040000,Ministry of Finance
43082,Research/scientific institutions,1040000,Ministry of Finance
51010,General budget support-related aid,1040000,Ministry of Finance
52010,Food aid/Food security programmes,1040000,Ministry of Finance
53030,Import support (capital goods),1040000,Ministry of Finance
53040,Import support (commodities),1040000,Ministry of Finance
60010,Action relating to debt,1040000,Ministry of Finance
60020,Debt forgiveness,1040000,Ministry of Finance
60030,Relief of multilateral debt,1040000,Ministry of Finance
60040,Rescheduling and refinancing,1040000,Ministry of Finance
60061,Debt for development swap,1040000,Ministry of Finance
60062,Other debt swap,1040000,Ministry of Finance
60063,Debt buy-back,1040000,Ministry of Finance
72010,Material relief assistance and services,1040000,Ministry of Finance
72040,Emergency food aid,1040000,Ministry of Finance
72050,Relief co-ordination; protection and support services,1040000,Ministry of Finance
73010,Reconstruction relief and rehabilitation,1040000,Ministry of Finance
74010,Disaster prevention and preparedness,1040000,Ministry of Finance
91010,Administrative costs (non-sector allocable),1040000,Ministry of Finance
93010,Refugees in donor countries (non-sector allocable),1040000,Ministry of Finance
99810,Sectors not specified,1040000,Ministry of Finance
99820,Promotion of development awareness (non-sector allocable),1040000,Ministry of Finance
